source,target
农场,土地 动物 农业 成长 作物 
农夫,生活 提高 字段 动物 牲畜 自己 工作 成长 收获 植物 农场 作物 耕种 人 
法西斯主义,当局 政治 命令 纳粹 政府 
快速,快速 移动 速度 慢 时间 简短 运行 种族 汽车 
固定,加入 一起 连接 紧紧 安全 附上 
父亲,男人 家庭 儿童 男性 父母 
水龙头,泄漏 分配 水槽 调节 金属 管道 水 浴缸 在 光泽 对 热 水龙头 浴室 控制 冷 离开 铬 厨房 
故障,责备 响应 原因 地球 地震 错 人 
最喜欢的,一个 最好的 最喜欢的 
小鹿,草 木 吃 哺乳动物 尾巴 人 快速 小 腿 小鹿斑比 可爱 狩猎 美容 棕色 野生 鹿年轻的 宽限期 四 现货 眼 动物 离开 软 
联邦调查局,秘密 联邦 警察 犯罪 调查 封面 局 政府 
恐惧,感觉 情感 吓care 害怕 人 
羽毛,tic痒 装饰温暖 电影 水 长 风 舒适 损失 正文 过敏 毛皮 写 小 翼 封面 干 保护 美容 颜色 笔 鸟 头发 对象 浮法 软 油 
功能,数学 操作 电影 方面 工作 特殊 部分 目的 主要 行动 
联邦,法律 联合国 国家 州 政府 
衰弱,虚弱 旧 老年 弱 能 
饲料,动物 食品 营养 吃 给予 提供 
感觉,接触 快乐 学习 轮胎 悲伤 经验快乐 愤怒 爱 缓解 伤害 行动 动词 硬 钻孔 手指 热 表达 手 感官 感知 理解 情感 纹理 冷 触摸 天气 对象 软 粗糙 心 
脚,脚踝 鞋子 袜子 鞋 腿 正文 部分 脚趾 步行 
假,分散注意力 通过 攻击 把戏 假 欺骗 
感到,感觉 颜色 工艺 羊毛 触摸 软 织物 布 
女性,女孩 长 女人 男性 头发 
围栏,金属 锁 攀爬 角度 侵入 在 口袋 院子 木材 块 关闭 保护 边界 棕色 电动 屏障 退出 安全 人造 单独 周围 油漆 高白色 类型 保持 高 部分 房子 对象 强 偷 
艺术节,事件 方 音乐 庆祝 乐趣 假日 嘉年华 
仇恨,两个 进行中 争论 战斗 同意 长 家庭 战争 人 
发烧,身体 高 热 生病 温度 
几个,两个 很少 更多 一个 很多 小 多个 许多 数量 少 
未婚夫,爱 星期三 结婚 丈夫 订婚 妻子 圆环 
纤维,消化 线程 部分 材料 布 
小说,想象 小说 书 故事 阅读 页面 长 创建 作者 写 真实 
场,打开 草 棒球 体育 播放 
五十,一半 数量 一百 年龄 美元 
无花果,水果 甜 牛顿 干 树 
战斗,争论 同意 物理 拳打 人 
战斗机,战斗 强壮 框 肌肉 愤怒 
图,图表 计算 相关 关系图 形式 正文 数字 形状 代表 线 
文件,平滑 顺序 塑料 改进 搜索 组织 牙齿毛皮 狗 平 运行 行动 移动 梳子 人类 手臂 修复 头发 单独 工具 清洁 对象 
填充,放入 提高 顶部 转让 折腾 玻璃 人类 饮料 倒 认为放完 对象 完成 工作 液体 行动 包含 
电影,动作 娱乐 故事 电影 观看 剧院 相机 显示 爆米花 日期 图片 行动 
肮脏,污垢 讨厌 清洁 总 坏 
鳍,稳定 动物 水 鱼 游泳 部分 鲨鱼 附件 
最后,考试 更多 最后 结束 第一 完成 失败 
金融,股票 援助 钱 帐户 银行 
雀科,唱歌 羽毛 巢 小 吃 翼 飞 黄色 鸟 喙 生成 
查找,通知 快乐 悲伤 新看到 轻松 查找 伤害 行动 发现 硬 某事 智能 丢失 出现 寻求 意识到 眼 感官 动物 类型 定位 获取 有 
手指,手势 沟通 选择 肌肉 长 正文 举行 指关节 抓握 人 指甲 肉 附加 不同 点指甲 磨损 五个 圆环 移动 皱纹 颜色 索引 感觉 一个 人类 抛光 手臂 需要 皮肤 向上 头发 连接附件 手 短 帮助 骨 中部 指骨 意味着 部分 数字 软 
指甲,硬 手指 成长 部分 封面 结束 提示 从头开始 
火,烧伤 库克 光 橙色 红色 破坏 火焰 烟 温暖 热 危险 黄色 蓝色 氧气 
壁炉,烧伤 内部 壁炉 火 木材 地方 日志 首页 温暖 气体 烟囱 砖 热 
首先,其他 一个 之前 开始 数字 
鱼,腮 水 宠物 游泳 吃 正文 湖 氧气 气味 规模 蛋 形状 颜色 光明 热带 渔获 烘烤 大小 类型 呼吸 食品动物 鳍 
钓鱼,占领 体育 业余爱好 鱼 渔获 海 行动 
拳头,战斗 打架 手指 拳打 手 愤怒 
适合,一起 大小 物理 对 正文 健康 运动 形状 人 
健身,好 物理 健康 运动 治愈 
合身,尺寸 西装 好 布 合适 
五,一 四 手指 数字 脚趾 手 
修复,功能 对象 使用放 孔 一起 作业 乐趣 轻松 鞋 行动 时钟 感觉 硬 人类 某事 修复 工作 良好 改进 使 汽车 
标志,状态 颜色 信号 名称 美国 极 骄傲 红色 爱国者 国家 白 显示 明星 标记 符号 蓝色 代表 表明 
片,谷物 头皮屑 冬季 来 雪 小 冷 一块 皮肤 霜 薄 白 干 关闭 玉米 秋天 人 
火焰,舞蹈 火 橙色 破坏 黄色视觉 死 木 气体 愤怒 氧气 小 光 伤害 温暖 发光 创建 行动 美容 移动 颜色 库克 光明 蜡烛 人类 可见 红色 热 危险 细菌 请参阅 设置 紫色 暴力 对象 蓝色 
火烈鸟,羽毛 动物 一个 脖子 气候 水 腿 长 温暖 粉红色 飞 鸟 喙 立场 
襟翼,移动 打开 风 封面 鸟 
闪存,沟通 正文 惊喜 快速 响应 眨眼 参加 光 简短 显示 发光 盲 光明 爆炸 突然 感官 短 平衡 请参阅 临时 
闪光器,光明 光 闪烁 闪光灯 汽车 
平,凹凸 一轮 光滑 直 级别 
跳蚤,叮咬 痒 宠物 猫 黑色 bug 小 吸 狗 后代 铺设 杀死 硬 血液 昆虫 跳转 可以 讨厌的 动物 地毯 鸡蛋 
舰队,快速 舰船 海军 战争 集团 
肉,牛 库克 动物 人类 肉 食品 身体 红色 牛排 皮肤 蛋白质 吃 牛肉 鸡 
弹性,合同 移动 肌肉 显示 运动 弯曲 
灵活,移动 可用 缓和 拉伸 弯曲 
轻弹,快速 移动 命中 电影 手指 
闪烁,天空 通知 更改 上 快速 咬 明星 小 持续时间 休息 光 发光 行动 动词 移动 生活 蜡烛 夜 发出光 可见 火焰 修复 突然 黑暗 短 闪闪发光 清洁 消防 明亮 对象 闪光 心 临时 
逃跑,扔 短 性 折腾 相关 浪漫 
翻转,侧面 向下 翻身 折腾 
鳍状肢,动物 水 鱼 游泳 部分 海豚 鳍 
调情,男孩 谈话 吸引力 女孩 人 
浮动,以上 游行 水 停留 船 
洪水,流 灾难 损坏 湿 水 原因 
地板,表面 污垢 墙 硬 站立 脚 人类 连接坐在里面 地毯 木材 下 材料 举行 生成 房子 单独 步行 
地板表演,舞蹈 地板 娱乐 显示 汽车 
佛罗里达,alligator 状态 团结 退休 很多 海洋 迪斯尼 橙色 地方 太阳 海滩 南 热 温暖 空缺 世界 人 
面粉,谷物 库克 地面 成分 面包 白 粉 小麦 烘烤 
流,移动 流 岩 小 水 鱼 平稳 运行 河 
花卉,美容 生产 颜色 气味 不同 成长 给 植物 礼物 
流感,疾病 咳嗽 病毒 发烧 感冒 病 生病 
蓬松,动物 毛皮 软 头发 空气 
流体,移动 缓解 流量 水 液体 
不及格,类 课程 通过 失败 拖放 
冲洗,马桶 移动 肥皂 清洁 红色 冲洗 水 洗 运行 离开 关闭 
长笛,银 乐队 金属 仪器 打击 长 风 薄 沥青 孔 小 木材 播放 声音 空气 音乐 通过 高 密钥 
飞,天空 传播 风 重力 快速 速度 乐趣 光 免费 翼 离开 行动 飞机 地面 平面放松 幻灯片 采取 设备 昆虫 乘坐 意图 鸟 工作 控制 帮助 土地 通过 对象 
飞行,飞机 旅行 通过 翼 鸟 空气 
雾,浓 硬 云 通过 请参阅 
有雾,雾 硬 阴霾 云 请参阅 低 起雾 清除 
箔,计划 表 金属 封面 薄 铝 
折叠,一半 洗衣服 纸 布 折痕 
文件夹,组织 纸张 学校 举行 文件 
按照,移动 被动 人类 学习 允许 指南 行动 婴儿 目标 铅 重复 秸秆 对象 转到 附近 步行 汽车 有人 
追随者,信仰 一个 门徒 铅 部分 跟随 人 
愚蠢的,愚蠢 明智 缺乏 错误 傻 傻瓜 行为 
喜欢,感觉 爱 同意 影响 享受 facebook 喜欢 人 
食品,口味 好 营养 吃 厨师 
傻瓜,愚蠢 智能 白痴 把戏 傻 傻瓜 精神 感官 人 
足球,两个 棕色 扔 点 体育 椭圆形 皮肤 猪 踢 结束 白 皮革 鞋带 针 游戏 摆动 一轮 足球 
为,打算 属于 给 目的 礼物 
力,硬 按 推 物理 电源 
强大,力量 坚强 需求 推动 进取 强大 领导 控制 
前额,顶部 眉 细线 以上 部分 脸 头 前面 眼 
外国,外部 不同 国家 外国人 本机 
有远见,未来 预测 发生 看 见 
森林,致密 野生 生活 土地 动物 木材 区域 木 成长 封面 植物 树 森林 大 
忘记,内存 丢失 记住 认为 电话 
原谅,原谅 赦免 宽恕 免费 释放 给与 忘记 允许 愤怒 
叉,打开 棍 锋利 携带 选择 勺子 吃 钱 举行 刀 肉 染色 声音 切 刺 移动 库克 表 人类 四 需要 三个 点 手 工具 帮助 部分 设置 勺 银器 塑料金属 
形式,安排 信息 纸 形状 填充 
正式,服饰 领带 办公室 幻想 优雅 
公式,数学 问题 等价 婴儿 数量 配方 化学 
堡垒,防御 军事 结构 保护 建造 
财富,运气 告诉 未来 丰富 良好 钱 金额 饼干 财富 价值 人 
向前,向前 移动 直接 向前看 向后 前面 
化石,恐龙 历史 骨 动物 旧 岩石 
基础,支持 开始 基础 化妆 底部 生成 
喷泉,饮料 水 装饰 空气 喷雾 
四,数学 五 数字 三 之后 
狐狸,两个 锋利 狗哺乳动物 橙色 猫 木 毛皮 尾巴 耳朵 人 释放 快速 狡猾 小 腿 可爱 狩猎 棕色 鼻子 食肉兽 野生 猎犬 性质 四 红色 危险 点 犬 动物 类型 捕食者 软 晶须 
脆弱,缓解 休息 弱 护理 玻璃 
香水,费用 香水 古龙水 好 香气 气味 不同 吸引 女人 坏 请 磨损 喷雾 瓶 
虚弱,缓解 旧 休息 弱 薄 脆弱 人 
框架,木材 边框 结构 图片 照片 
法国,酒 欧洲 塔 巴黎 食品 国家 埃菲尔 说 人 
科学怪人,小说 名称 破坏 怪物 创建 人 
博爱,男孩 方 兄弟 学院 集团 
欺诈,说谎 法律 犯罪 假 欺骗 人 
磨损,战斗 边缘 来 旧 褪色 破烂 轮胎 穿 分开 布 
怪胎,怪异 计算 通常 智能 高 正常 书呆子 奇怪 玻璃 人 
雀斑,棕色 小 瑕疵 现货 太阳 皮肤 圆点 
自由式,舞蹈 说唱 中风 免费 游泳 
高速公路,旅行 速度 高速公路 路 州际公路 交通 驱动器 汽车 
冻结,水 转 冷 温度 固体 液体 停止 冰 
冰箱,奶油 抽屉 酷 沉重 肉 光 新鲜 冷藏 家电 烧伤 电动 货架 保留 白色 氟利昂 白 冷却 冻结 可以 由 食品 冷 厨房 部分 存储 使 多维数据集 
法语,亲吻 法国 食品 类型 说 语言 人 
频率,经常 发生 时间 无线电 波 
修道士,牧师 和尚 之一 穿 宗教 
星期五,周末 天 最后 星期 工作 
朋友,同伴 知道 相识 好友 帮助 一个 享受 关闭 人 
友善,快乐 朋友 很好 种类 人 
友谊,两个 爱 关系 朋友 伴侣 人 
薯条,食品 薯条 法国 马铃薯 油 
吓坏,感觉 吓care 原因 害怕 恐惧 
受惊,神经 电影 害怕 恐慌 恐惧 
褶边,布 边缘 额外 花边 装饰 荷叶边 
滚动,搜索 检查 触摸 向下 武器 轻拍 
青蛙,舌头 跃点 沼泽 土地 动物 坐 腿部 水 昆虫 莉莉 垫 两栖类 飞 眼 绿色 
磨砂,蛋糕 雪 冷 霜 糖 封面 头发 冻结 冰 
糖霜,顶部 蛋糕 甜 大衣 封面 糖 釉 冰 
皱眉,侧 锋利 沮丧 快乐 肌肉 嘴唇 悲伤 舒适 目的 难过 曲线 伤害 眉毛 感觉认为 行动 轮 动词 厌恶 人类 哭 钻孔 坏 表达 意图 眼泪 角落 看看 情感 朋友 向下 脸 请 生病 任命 恐慌 微笑 
沮丧,感觉 加重 原因 能 烦恼 激怒 恼怒 愤怒 
鱼苗,烧伤 库克 好 多余 暗 食品 酥 固体 石油 鱼 潘 热 健康 鸡蛋 创建 行动 厨房 
软糖,棕色 糖果 口味 百胜 甜 奶油 美味 糖 巧克力 
燃料,烧伤 电源 能源 石油 热 气体 运行 汽油 汽车 
逃犯,定罪 法律 隐藏 想要 转义 犯罪 运行 人 
满了,容量 更多 空 最大 吃 玻璃 填充 
烟雾,蒸气 气味 气体 化学 有毒 
乐趣,好 快乐 朋友 时间 家庭 享受 笑 
基金,财务 钱 帐户 金额 银行 提供 给定 
真菌,蘑菇 颜色 细菌 脚 食品 真菌 气味 霉菌 模具 成长 吃 植物 生物 毛 绿色 
搞笑,幽默 微笑 喜剧 笑话 笑 人 
毛皮,浓 颜色 杀死 短 宠物 狗 大衣 长 天气 猫 皮肤 绒毛 对象 哺乳动物 软 头发 保护 成长 
提供,食品 允许 条款 首页 房子 装饰 沙发 提供 供应 
毛茸茸,动物 绒毛 封面 毛皮 软 头发 
进一步,远方 移动 超越 更多 
大惊小怪,争论 沮丧 投诉 交易 大 
未来,将 知道 看看 计划 来 通过 发生 时间 还 现在 人 
"插科打,,说话",嘴里 ch 笑话 呕吐 
获得,更多 称重 增加 添加 实现 
gal,那位女士 女人 s语 女孩 女性 
星系,系统 太阳能 宇宙 空间 牛奶 行星 明星 方式 大 
加仑,四 夸脱 品脱 牛奶 体积 单位 措施 液体 
"驰,,马",小跑 移动 快速 运行 
赌博,采取 风险 播放 下注 钱 机会 游戏 
游戏,体育 乐趣 董事会 播放 竞争 
雄鹅,看看 羽毛 采取 鹅 男性 
帮派,经常 犯罪 在一起 组 人 
徒,帮派 类型 犯罪 成员 行为 人 
车库,工具 垃圾 由 作为 木材 部分 房子 存储 房间 大 汽车 
垃圾,垃圾 废物 猫 长 转储 走 气味 使用 处置 污垢 扔 采取 远 想要 袋 坏 向上 垃圾填埋 毛 项目 食品 引发 
花园,水果 花 蔬菜 植物 绿色 
大蒜,库克 好 击退 酱 小 食品 面包季节 香料 吃 防止 灯泡 德古拉 白 呼吸 丁香 强 意大利面 可以 
气体,燃料 费用 站 气味 火焰 石油 钱 运行 液体 汽车 
量规,尺寸 设备 估计 仪表 措施 
木槌,法官 锤 岩 小 木 顺序 注意 法院 
鹅,羽毛 脚 动物 铺设 鸭 鸡蛋 白 翼 鹅 web 飞 迁移 鸟 喙 吃 鸣笛 大 加拿大 
基因,特征 生物学 代码 染色体 dna 遗传 父母 
一般,军队 命令 军事 等级 领导 
慷慨,免费 给予 慈善机构 护理 种类 
温柔的,柔软的 温和的 触摸 护理 种类 
绅士,类 男 方式 之一 很好 尊重 礼貌 种类 人 
真实的,真实的 真相 事实 诚实 真诚的 谎言 讲 诚实的 
地质,矿物 研究 科学 地球 岩石 
几何,数学 学校 高 角度 形状 
乔治,名称 国王 圣 龙 人 
得到,获得 去 目标 举行 情感快乐 聚会 拥有 目前 购买 行动 抓紧 东西 人类 采取 想要 需要 做 向上 到达 给予 手 捡 动物 了解 有 对象 
贫民窟,污垢 区域 可怜 镇 贫民窟 敞篷 贫穷 城市 黑色 人 
鬼,困扰 死 出现 精神 人 
食尸鬼,恐吓 死 鬼 严重 怪物 生物 精神 人 
礼物,接收 生日 基督 环绕 目前 给 人 
咯咯笑,尼克 咯咯笑 高 女孩 笑 俯仰 
杜松子酒,酒精 醉酒 饮料 补品 果汁 
长颈鹿,橙色 长 吃 沙漠后代 植物 黑色 快速 舌头 腿 运行 棕色 野生 四 牧群 黄色 动物园 叶 土地 非洲 离开 大 
女孩,男孩 长 女人 头发 女性 裙子 漂亮 
女友,爱 朋友 男朋友 时间 日期 相关 女孩 女性 伙伴 人 
给,当前 钱 损失 更改 带来 人 拥有 努力 购买 目前 摆脱 允许 行动 轮 共享手 生活 人类 某事 自己 扩展 ​​慷慨 与 慷慨 想法 手 发行 帮助 动物 朋友 很好 对象 
高兴,喜悦 快乐 激发 请 微笑 
一目了然,快速 看看 采取 偷看 简要 眼 
腺体,生产 激素 正文 部分 器官 保密 物质 单元格 
眩光,看看 凝视 光明 反射 光 太阳 发光 愤怒 
玻璃,杯 颜色 锋利 休息 通过 窗口 饮料 请参阅 清除 
眼镜,帮助 视觉 请参阅 眼 玻璃 
滑行,移动 幻灯片 轻松 平滑 飞 空气 
荣耀,感觉 赢 荣誉 称赞 成就 
手套,棉花 所有 和 材料 拇指 冬季 缓解 手套 雪 字符串 温暖 磨损 保护 温度 包含 颜色 一个 手指 对 丢失 渔获 在一起 皮革 工作 单独 布 手 手术 棒球 清洁 针织 类型 羊毛 冷 保持 天气 儿童 对象 
发光,快乐 火 能源 明星 直接 发出照亮 光 太阳 温暖 显示 发光 行动 黄金 颜色 光明 蜡烛 夜 沉闷 可见 电源 出现 热 黑暗 反射 朋友 请参阅 脸 闪烁 对象 绿色 微笑 
胶水,埃尔默 粘贴 一起 项目 工艺 坚持 混乱 学校 棒 纸 白 举行 在一起 艺术 埃尔默斯 
去,地方 悲伤 目的 更改 直接 旅行 走 物理 行动 移动 决定 退出 采取 做 向上 开始 意图 访问 目的地 定位 离开 
山羊,动物园搞笑 草 宠物 吃 产生 侵略性 哺乳动物 毛皮 蹄 固执 小 气味 尾 牛奶 农场 灰色 使用 保护 奶酪 绒毛 棕色 生活 山 腿部 人类 智能 任何东西 头发 国内 字段 大小 朋友 食品 动物 
酒杯,酒 杯 波特 红色 饮料 举行 玻璃 哈里 
神,知道 爱 权力 圣经》 耶稣 父亲 天堂 创建 宗教 人 
黄金,费用 颜色 珠宝 金属 光泽 值 钱 黄色 
金鱼,生活 短 动物 食品 腮 小 橙色 水 宠物 鱼 规模 吃 结束 游泳 浅绿色 黄金 
走了,出现了 离开了 久了 这里 
黏性,总值 棒 物质 软泥 绿色 
再见,告别 请参阅 部分 离开 说 人 
善良,品质 善良 邪恶 
地鼠,棕色 挖 腿部 地面 动物 四个 小 毛皮 孔 
华丽,美容 看看 好 吸引 漂亮 
大猩猩,两个 长 吃 毛皮 哺乳动物 大 黑色 丛林 树 人类 手臂 危险 头发 动物园 动物 暴力 秋千 强 香蕉 
美食,食品 质量 高 首席 花式 
政府,政治 政府 法律 总统 国家 许多 腐败 规则 运行 民主 控制 人 
调速器,状态 政治 选举 电源 办公室 支配 铅 统治 头 
礼服,场合 颜色 丝绸 服饰 正式 长 特殊 女人 磨损 晚上 优雅 花式 布 星期三 
抢,力 名称 采取 选择 偷 犯罪 抢夺 举行 手 人 
宽限期,移动 祈祷 宽恕 怜悯 优雅 
优雅,移动 优雅 美容 轻松 
年级,坡度 学校 等级 分数 级别 
毕业,移动 文凭 学院 一个 仪式 学校 学位 研究 无 高 完成 礼服 人 
嫁接,结合 手术 移植 附着 皮肤 
粮食,谷物 大米 食品 种子 小 小麦 燕麦 
语法,英语 句子 正确 语音 单词 标点 规则 结构 使用 写 语言 
